BHK,Size,Bathroom,Area Type_Built Area,Area Type_Carpet Area,Area Type_Super Area,City_Bangalore,City_Chennai,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai,Furnishing Status_Furnished,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Tenant Preferred_Bachelors,Tenant Preferred_Bachelors/Family,Tenant Preferred_Family,Point of Contact_Contact Agent,Point of Contact_Contact Builder,Point of Contact_Contact Owner
3,1100,3,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
3,1000,3,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
1,600,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
3,1500,3,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
2,1125,2,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
1,600,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1,350,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
2,670,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
3,1600,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
3,950,3,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
2,120,2,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
3,2000,3,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
3,1500,3,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
2,1300,2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2,1150,2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
1,500,2,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
2,900,2,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
2,650,2,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
2,1100,2,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
2,1200,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
2,650,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
3,1100,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
2,1400,3,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2,90,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
2,700,2,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
2,950,2,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
2,650,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
2,1100,2,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
2,133,2,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
3,950,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
2,900,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
3,1300,3,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
3,800,2,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
3,1600,2,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
1,450,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1,400,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1,600,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2,45,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
3,950,3,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
1,416,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2,1000,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
3,1095,3,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
2,1300,2,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
2,1300,2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2,850,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
2,700,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1,500,2,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
1,500,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
3,2700,3,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1,305,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
2,700,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
2,650,2,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
1,600,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2,880,2,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
2,750,2,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
3,2000,3,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
